,data,id_reservatorio,nome_reservatorio,afluencia,bacia,rio,estado_sigla
208,2001-02-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
209,2001-02-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
210,2001-02-22,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
211,2001-02-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
212,2001-02-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
213,2001-03-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
214,2001-03-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
215,2001-03-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
216,2001-03-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
217,2001-03-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
218,2001-03-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
219,2001-03-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
220,2001-03-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
221,2001-03-14,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
222,2001-03-15,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
223,2001-03-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
224,2001-03-18,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
225,2001-03-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
226,2001-03-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
227,2001-03-22,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
228,2001-03-23,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
229,2001-03-24,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
230,2001-03-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
231,2001-03-28,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
232,2001-03-31,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
233,2001-04-04,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
234,2001-04-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
235,2001-04-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
236,2001-04-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
237,2001-04-10,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
238,2001-04-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
239,2001-04-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
240,2001-04-14,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
241,2001-04-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
242,2001-04-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
243,2001-04-18,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
244,2001-04-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
245,2001-04-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
246,2001-04-24,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
247,2001-04-25,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
248,2001-04-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
249,2001-04-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
250,2001-04-30,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
251,2001-05-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
252,2001-05-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
253,2001-05-04,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
254,2001-05-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
255,2001-05-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
256,2001-05-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
257,2001-05-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
258,2001-05-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
